id_full;island;id;morph;chela;chela_id
FN_59_HO_right;FN;59;HO;right;two
FN_61_HO_right;FN;61;HO;right;two
FN_67_HO_right;FN;67;HO;right;one
FN_66_HO_right;FN;66;HO;right;one
FN_69_HO_right;FN;69;HO;right;one
FN_83_HO_right;FN;83;HO;right;two
FN_85_HO_right;FN;85;HO;right;two
FN_88_HO_right;FN;88;HO;right;two
FN_43_HE_large;FN;43;HE;large;two
FN_45_HE_large;FN;45;HE;large;two
FN_50_HE_large;FN;50;HE;large;two
FN_48_HE_large;FN;48;HE;large;two
FN_49_HE_large;FN;49;HE;large;one
FN_52_HE_large;FN;52;HE;large;two
FN_54_HE_large;FN;54;HE;large;two
FN_56_HE_large;FN;56;HE;large;one
FN_57_HE_large;FN;57;HE;large;one
FN_60_HE_large;FN;60;HE;large;two
FN_62_HE_large;FN;62;HE;large;two
FN_63_HE_large;FN;63;HE;large;one
FN_64_HE_large;FN;64;HE;large;one
FN_65_HE_large;FN;65;HE;large;two
FN_68_HE_large;FN;68;HE;large;two
FN_75_HE_large;FN;75;HE;large;one
FN_82_HE_large;FN;82;HE;large;one
FN_84_HE_large;FN;84;HE;large;one
FN_86_HE_large;FN;86;HE;large;one
FN_87_HE_large;FN;87;HE;large;two
FN_90_HE_large;FN;90;HE;large;one
FN_91_HE_large;FN;91;HE;large;two
FN_93_HE_large;FN;93;HE;large;one
FN_94_HE_large;FN;94;HE;large;one
FN_43_HE_small;FN;43;HE;small;one
FN_45_HE_small;FN;45;HE;small;one
FN_48_HE_small;FN;48;HE;small;one
FN_49_HE_small;FN;49;HE;small;two
FN_50_HE_small;FN;50;HE;small;one
FN_52_HE_small;FN;52;HE;small;one
FN_54_HE_small;FN;54;HE;small;one
FN_56_HE_small;FN;56;HE;small;two
FN_57_HE_small;FN;57;HE;small;two
FN_60_HE_small;FN;60;HE;small;one
FN_62_HE_small;FN;62;HE;small;one
FN_63_HE_small;FN;63;HE;small;two
FN_64_HE_small;FN;64;HE;small;two
FN_65_HE_small;FN;65;HE;small;one
FN_68_HE_small;FN;68;HE;small;one
FN_75_HE_small;FN;75;HE;small;two
FN_82_HE_small;FN;82;HE;small;two
FN_84_HE_small;FN;84;HE;small;two
FN_86_HE_small;FN;86;HE;small;two
FN_87_HE_small;FN;87;HE;small;one
FN_90_HE_small;FN;90;HE;small;two
FN_91_HE_small;FN;91;HE;small;one
FN_93_HE_small;FN;93;HE;small;two
FN_94_HE_small;FN;94;HE;small;two
TR_06_HO_left;TR;6;HO;left;one
TR_11_HO_left;TR;11;HO;left;one
TR_13_HO_left;TR;13;HO;left;two
TR_20_HO_left;TR;20;HO;left;one
TR_24_HO_left;TR;24;HO;left;one
TR_26_HO_left;TR;26;HO;left;two
TR_27_HO_left;TR;27;HO;left;one
TR_28_HO_left;TR;28;HO;left;two
TR_29_HO_left;TR;29;HO;left;two
TR_43_HO_left;TR;43;HO;left;one
TR_44_HO_left;TR;44;HO;left;two
TR_50_HO_left;TR;50;HO;left;one
TR_53_HO_left;TR;53;HO;left;two
TR_52_HO_left;TR;52;HO;left;two
TR_61_HO_left;TR;61;HO;left;two
TR_62_HO_left;TR;62;HO;left;one
TR_70_HO_left;TR;70;HO;left;two
TR_73_HO_left;TR;73;HO;left;two
TR_74_HO_left;TR;74;HO;left;two
TR_06_HO_right;TR;6;HO;right;two
TR_11_HO_right;TR;11;HO;right;two
TR_13_HO_right;TR;13;HO;right;one
TR_20_HO_right;TR;20;HO;right;two
TR_24_HO_right;TR;24;HO;right;two
TR_26_HO_right;TR;26;HO;right;one
TR_27_HO_right;TR;27;HO;right;two
TR_28_HO_right;TR;28;HO;right;one
TR_29_HO_right;TR;29;HO;right;one
TR_43_HO_right;TR;43;HO;right;two
TR_44_HO_right;TR;44;HO;right;one
TR_50_HO_right;TR;50;HO;right;two
TR_52_HO_right;TR;52;HO;right;one
TR_53_HO_right;TR;53;HO;right;one
TR_61_HO_right;TR;61;HO;right;one
TR_62_HO_right;TR;62;HO;right;two
TR_70_HO_right;TR;70;HO;right;one
TR_73_HO_right;TR;73;HO;right;one
TR_74_HO_right;TR;74;HO;right;one
TR_07_HE_large;TR;7;HE;large;one
TR_10_HE_large;TR;10;HE;large;two
TR_30_HE_large;TR;30;HE;large;two
TR_31_HE_large;TR;31;HE;large;one
TR_32_HE_large;TR;32;HE;large;two
TR_48_HE_large;TR;48;HE;large;one
TR_59_HE_large;TR;59;HE;large;two
TR_60_HE_large;TR;60;HE;large;two
TR_63_HE_large;TR;63;HE;large;one
TR_64_HE_large;TR;64;HE;large;one
TR_65_HE_large;TR;65;HE;large;two
TR_66_HE_large;TR;66;HE;large;one
TR_67_HE_large;TR;67;HE;large;one
TR_68_HE_large;TR;68;HE;large;one
TR_69_HE_large;TR;69;HE;large;two
TR_71_HE_large;TR;71;HE;large;two
TR_72_HE_large;TR;72;HE;large;two
